INSTRUMENT,SYMBOL,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,_c15,EXPIRY_DT,CLOSE_prev,OPEN_INT_prev,CHANGE_IN_LTP,CHANGE_IN_OI
FUTSTK,JSWSTEEL,0.0,XX,736.0,739.8,729.65,737.05,737.05,2084,20695.99,21443400,145800,03-MAY-2023,,25-05-2023,741.95,21297600,-0.6604251409723292,0.6845841784989858
FUTSTK,JUBLFOOD,0.0,XX,462.0,467.8,457.05,459.1,459.1,3139,18157.42,15482500,-376250,03-MAY-2023,,25-05-2023,462.4,15858750,-0.7136651895604273,-2.372507290927721
FUTSTK,KOTAKBANK,0.0,XX,1920.05,1939.55,1919.6,1936.05,1936.05,11816,91232.16,28119600,-700400,03-MAY-2023,,25-05-2023,1928.7,28820000,0.38109077836519323,-2.4302567661346286
FUTSTK,L&TFH,0.0,XX,92.85,94.35,92.85,93.3,93.3,1324,11053.42,71052888,-803160,03-MAY-2023,,25-05-2023,93.15,71856048,0.1610322312632844,-1.1177347242921014
FUTSTK,LALPATHLAB,0.0,XX,1923.7,1945.0,1911.2,1927.9,1927.9,791,3814.11,661000,37000,03-MAY-2023,,25-05-2023,1929.55,624000,-0.08551342915746656,5.929487179487179
FUTSTK,LAURUSLABS,0.0,XX,312.25,323.9,311.4,322.0,322.0,5358,18749.65,14667400,17600,03-MAY-2023,,25-05-2023,311.8,14649800,3.2713318173071673,0.12013815888271512
FUTSTK,LICHSGFIN,0.0,XX,355.9,360.55,355.5,357.8,357.8,1718,12325.46,14974000,-634000,03-MAY-2023,,25-05-2023,357.4,15608000,0.11191771217551483,-4.062019477191184
FUTSTK,LT,0.0,XX,2395.0,2397.7,2362.85,2371.0,2371.0,4846,34543.31,8770800,-133500,03-MAY-2023,,25-05-2023,2394.65,8904300,-0.9876141944842456,-1.4992756308749706
FUTSTK,LTIM,0.0,XX,4550.0,4570.1,4480.1,4514.9,4514.9,2980,20200.15,1467450,-19650,03-MAY-2023,,25-05-2023,4576.9,1487100,-1.3546287077034587,-1.3213637280613275
FUTSTK,LTTS,0.0,XX,3772.55,3785.5,3721.0,3729.2,3729.2,1973,14769.32,1159200,-49200,03-MAY-2023,,25-05-2023,3788.85,1208400,-1.5743601606533355,-4.07149950347567
FUTSTK,LUPIN,0.0,XX,709.9,717.45,707.7,712.95,712.95,841,5093.95,6394550,-39100,03-MAY-2023,,25-05-2023,712.85,6433650,0.014033334434994325,-0.607742105958515
FUTSTK,M&M,0.0,XX,1243.25,1247.75,1237.65,1241.4,1241.4,2306,20032.93,12914300,43400,03-MAY-2023,,25-05-2023,1244.45,12870900,-0.2450823156801478,0.3371947571653886
FUTSTK,M&MFIN,0.0,XX,265.85,273.65,262.7,273.05,273.05,4035,43581.84,24128000,192000,03-MAY-2023,,25-05-2023,268.05,23936000,1.8653237185975189,0.8021390374331552
FUTSTK,MANAPPURAM,0.0,XX,129.7,130.0,112.1,114.4,114.4,20192,144520.47,54354000,14898000,03-MAY-2023,,25-05-2023,130.35,39456000,-12.236289858682666,37.75851581508516
FUTSTK,MARICO,0.0,XX,501.6,506.7,499.5,504.3,504.3,864,5222.51,9627600,-177600,03-MAY-2023,,25-05-2023,501.85,9805200,0.488190028824623,-1.8112838085913598
FUTSTK,MARUTI,0.0,XX,8811.05,8864.0,8766.85,8840.2,8840.2,5188,45831.14,2216600,-57300,03-MAY-2023,,25-05-2023,8831.3,2273900,0.10078234033313903,-2.5198997317384233
FUTSTK,MCDOWELL-N,0.0,XX,780.45,800.8,780.45,789.75,789.75,4522,22410.0,12437500,127500,03-MAY-2023,,25-05-2023,782.9,12310000,0.8749489554639054,1.0357432981316004
FUTSTK,MCX,0.0,XX,1397.0,1409.0,1375.8,1380.85,1380.85,1156,6430.5,1245200,84400,03-MAY-2023,,25-05-2023,1404.95,1160800,-1.7153618579676524,7.270847691247416
FUTSTK,METROPOLIS,0.0,XX,1272.0,1283.4,1243.2,1248.3,1248.3,755,3801.38,1345600,44000,03-MAY-2023,,25-05-2023,1272.45,1301600,-1.8979058721727262,3.380454824830977
FUTSTK,MFSL,0.0,XX,652.55,657.4,638.55,640.95,640.95,1446,6075.64,3879200,-72150,03-MAY-2023,,25-05-2023,651.0,3951350,-1.5437769267233103,-1.8259582168119757
FUTSTK,MGL,0.0,XX,1008.8,1017.1,1006.0,1008.2,1008.2,546,4412.85,1744800,-31200,03-MAY-2023,,25-05-2023,1009.45,1776000,-0.12382980681401325,-1.7567567567567568
FUTSTK,MOTHERSON,0.0,XX,75.2,75.85,74.75,75.0,75.0,1132,5744.96,54749250,-2369250,03-MAY-2023,,25-05-2023,75.55,57118500,-0.7279987154745928,-4.147955566060033
